model_version,dataset_name,dataset_size,error,model_size,execution_time,load_time,B-PER_precision,B-PER_recall,B-PER_f1,I-PER_precision,I-PER_recall,I-PER_f1,overall_precision,overall_recall,overall_f1
version-13-roberta-base,WNUT.conll,2868,,124058116.0,7.393794775009155,0.8580951690673828,0.440419447092469,0.7457627118644068,0.5537908300869044,0.440419447092469,0.7457627118644068,0.5537908300869044,0.0,0.0,0.0
version-14-roberta-base,a.conll,424,,124058116.0,1.7123219966888428,0.878253698348999,0.63671875,0.9314285714285714,0.7563805104408352,0.63671875,0.9314285714285714,0.7563805104408352,0.0,0.0,0.0
version-14-roberta-base,b.conll,1238,,124058116.0,3.489931344985962,0.878253698348999,0.8667582417582418,0.9737654320987654,0.9171511627906977,0.8667582417582418,0.9737654320987654,0.9171511627906977,0.0,0.0,0.0
version-14-roberta-base,conllpp_train.txt,10492,,124058116.0,21.512695789337158,0.878253698348999,0.9913501316284318,0.9982957773149025,0.9948108312104915,0.9913501316284318,0.9982957773149025,0.9948108312104915,0.0,0.0,0.0
version-14-roberta-base,e.conll,98,,124058116.0,1.0582938194274902,0.878253698348999,0.6571428571428571,0.71875,0.6865671641791045,0.6571428571428571,0.71875,0.6865671641791045,0.0,0.0,0.0
version-14-roberta-base,f.conll,1600,,124058116.0,4.624634742736816,0.878253698348999,0.8352758352758353,0.8418167580266249,0.8385335413416538,0.8352758352758353,0.8418167580266249,0.8385335413416538,0.0,0.0,0.0
version-14-roberta-base,g.conll,1710,,124058116.0,4.689727067947388,0.878253698348999,0.8598615916955017,0.8898836168307968,0.8746150461944566,0.8598615916955017,0.8898836168307968,0.8746150461944566,0.0,0.0,0.0
version-14-roberta-base,h.conll,1600,,124058116.0,4.47532320022583,0.878253698348999,0.7235246564268392,0.788546255506608,0.754637436762226,0.7235246564268392,0.788546255506608,0.754637436762226,0.0,0.0,0.0
version-14-roberta-base,KAGGLE.csv,31382,,124058116.0,65.22443771362305,0.878253698348999,0.8291420118343196,0.8331475287997027,0.8311399443929564,0.8291420118343196,0.8331475287997027,0.8311399443929564,0.0,0.0,0.0
version-14-roberta-base,NYT_corr1,556,,124058116.0,2.0109474658966064,0.878253698348999,0.8592592592592593,0.9789029535864979,0.9151873767258384,0.8592592592592593,0.9789029535864979,0.9151873767258384,0.0,0.0,0.0
version-14-roberta-base,NYT_corr2,864,,124058116.0,2.5166015625,0.878253698348999,0.9418886198547215,0.9848101265822785,0.9628712871287128,0.9418886198547215,0.9848101265822785,0.9628712871287128,0.0,0.0,0.0
version-14-roberta-base,NYT_corr3,573,,124058116.0,1.993643045425415,0.878253698348999,0.9525423728813559,0.9689655172413794,0.9606837606837607,0.9525423728813559,0.9689655172413794,0.9606837606837607,0.0,0.0,0.0
version-14-roberta-base,ritter.txt,801,,124058116.0,2.521778106689453,0.878253698348999,0.3888111888111888,0.7787114845938375,0.5186567164179104,0.3888111888111888,0.7787114845938375,0.5186567164179104,0.0,0.0,0.0
version-14-roberta-base,WNUT.conll,2868,,124058116.0,7.377410888671875,0.878253698348999,0.4543770264011116,0.7917675544794189,0.5773984696880519,0.4543770264011116,0.7917675544794189,0.5773984696880519,0.0,0.0,0.0
version-15-roberta-base,a.conll,424,,124058116.0,1.6900877952575684,0.9021179676055908,0.5875912408759124,0.92,0.7171492204899778,0.5875912408759124,0.92,0.7171492204899778,0.0,0.0,0.0
version-15-roberta-base,b.conll,1238,,124058116.0,3.4307963848114014,0.9021179676055908,0.8104993597951344,0.9768518518518519,0.8859342197340798,0.8104993597951344,0.9768518518518519,0.8859342197340798,0.0,0.0,0.0
version-15-roberta-base,conllpp_train.txt,10492,,124058116.0,21.572589635849,0.9021179676055908,0.9883786316776008,0.9984851353910245,0.9934061793519217,0.9883786316776008,0.9984851353910245,0.9934061793519217,0.0,0.0,0.0
version-15-roberta-base,e.conll,98,,124058116.0,1.0531589984893799,0.9021179676055908,0.7105263157894737,0.84375,0.7714285714285714,0.7105263157894737,0.84375,0.7714285714285714,0.0,0.0,0.0
version-15-roberta-base,f.conll,1600,,124058116.0,4.426011800765991,0.9021179676055908,0.8120464441219158,0.8762725137039937,0.8429378531073447,0.8120464441219158,0.8762725137039937,0.8429378531073447,0.0,0.0,0.0
