model_version,dataset_name,model_size,dataset_size,execution_time,load_time,B-PER_precision,B-PER_recall,B-PER_f1,I-PER_precision,I-PER_recall,I-PER_f1,overall_precision,overall_recall,overall_f1
version-11-roberta-base,b.conll,124057347,1238,3.437666416168213,0.4228377342224121,0.6462346760070052,0.5694444444444444,0.6054142739950779,0.6462346760070052,0.5694444444444444,0.6054142739950779,0.0,0.0,0.0
version-11-roberta-base,conllpp_train.txt,124057347,10492,21.34541893005371,0.4228377342224121,0.8163461538461538,0.964590039765196,0.8842982380001736,0.8163461538461538,0.964590039765196,0.8842982380001736,0.0,0.0,0.0
version-11-roberta-base,e.conll,124057347,98,1.0407469272613525,0.4228377342224121,0.625,0.625,0.625,0.625,0.625,0.625,0.0,0.0,0.0
version-11-roberta-base,f.conll,124057347,1600,4.629425525665283,0.4228377342224121,0.784180790960452,0.543461237274863,0.6419981498612396,0.784180790960452,0.543461237274863,0.6419981498612396,0.0,0.0,0.0
version-11-roberta-base,g.conll,124057347,1710,4.694693088531494,0.4228377342224121,0.8262626262626263,0.7323187108325873,0.7764594209776935,0.8262626262626263,0.7323187108325873,0.7764594209776935,0.0,0.0,0.0
version-11-roberta-base,h.conll,124057347,1600,5.338034629821777,0.4228377342224121,0.7341576506955177,0.4185022026431718,0.5331088664421997,0.7341576506955177,0.4185022026431718,0.5331088664421997,0.0,0.0,0.0
version-11-roberta-base,KAGGLE.csv,124057347,31382,64.72698998451233,0.4228377342224121,0.8157476464115417,0.9917502787068004,0.8951799550531647,0.8157476464115417,0.9917502787068004,0.8951799550531647,0.0,0.0,0.0
version-11-roberta-base,NYT_corr2,124057347,864,2.574903964996338,0.4228377342224121,0.9522673031026253,1.0,0.9755501222493889,0.9522673031026253,1.0,0.9755501222493889,0.0,0.0,0.0
version-11-roberta-base,NYT_corr3,124057347,573,2.154921054840088,0.4228377342224121,0.9171974522292994,0.993103448275862,0.9536423841059604,0.9171974522292994,0.993103448275862,0.9536423841059604,0.0,0.0,0.0
version-11-roberta-base,ritter.txt,124057347,801,2.4880032539367676,0.4228377342224121,0.8963730569948186,0.969187675070028,0.9313593539703903,0.8963730569948186,0.969187675070028,0.9313593539703903,0.0,0.0,0.0
version-11-roberta-base,WNUT.conll,124057347,2868,7.588996648788452,0.4228377342224121,0.7128053293856402,0.7772397094430993,0.7436293436293436,0.7128053293856402,0.7772397094430993,0.7436293436293436,0.0,0.0,0.0
version-12-roberta-base,a.conll,124057347,424,1.8159360885620117,0.42263150215148926,0.6153846153846154,0.8888888888888888,0.7272727272727274,0.6153846153846154,0.8888888888888888,0.7272727272727274,0.0,0.0,0.0
version-12-roberta-base,b.conll,124057347,1238,3.458146572113037,0.42263150215148926,0.7291338582677165,0.7145061728395061,0.7217459080280592,0.7291338582677165,0.7145061728395061,0.7217459080280592,0.0,0.0,0.0
version-12-roberta-base,conllpp_train.txt,124057347,10492,21.328534364700317,0.42263150215148926,0.8120108608848426,0.9626964590039765,0.8809565066712874,0.8120108608848426,0.9626964590039765,0.8809565066712874,0.0,0.0,0.0
version-12-roberta-base,e.conll,124057347,98,1.0601918697357178,0.42263150215148926,0.5405405405405406,0.625,0.5797101449275363,0.5405405405405406,0.625,0.5797101449275363,0.0,0.0,0.0
version-12-roberta-base,f.conll,124057347,1600,4.585184574127197,0.42263150215148926,0.8559782608695652,0.7400156617071261,0.7937841243175136,0.8559782608695652,0.7400156617071261,0.7937841243175136,0.0,0.0,0.0
version-12-roberta-base,g.conll,124057347,1710,4.515640020370483,0.42263150215148926,0.8540540540540541,0.8487018800358102,0.8513695554557701,0.8540540540540541,0.8487018800358102,0.8513695554557701,0.0,0.0,0.0
version-12-roberta-base,h.conll,124057347,1600,4.236968517303467,0.42263150215148926,0.8261405672009864,0.5903083700440529,0.6885919835560124,0.8261405672009864,0.5903083700440529,0.6885919835560124,0.0,0.0,0.0
version-12-roberta-base,KAGGLE.csv,124057347,31382,66.04417681694031,0.42263150215148926,0.7166882276843467,0.947008547008547,0.8159057437407953,0.7166882276843467,0.947008547008547,0.8159057437407953,0.0,0.0,0.0
version-12-roberta-base,NYT_corr2,124057347,864,2.6238019466400146,0.42263150215148926,0.9410377358490566,1.0,0.9696233292831106,0.9410377358490566,1.0,0.9696233292831106,0.0,0.0,0.0
version-12-roberta-base,NYT_corr3,124057347,573,2.000243663787842,0.42263150215148926,0.9076433121019108,0.9827586206896551,0.9437086092715232,0.9076433121019108,0.9827586206896551,0.9437086092715232,0.0,0.0,0.0
